col_0,col_1,y,is_selected
0.559214453981698,0.10221019409443177,0,1
0.18450441135939855,0.18390310763996542,0,1
0.597537698198123,0.6884261651654199,0,1
0.8896510218078449,0.04743794018490366,0,1
0.20365337640352543,0.5032990367256923,0,1
0.27675623900744484,0.43979591585776423,0,1
0.31097352739974526,0.33687505909002713,0,1
0.9815795235415643,0.12092743836691577,0,1
0.46865744121624875,0.5302907415768563,0,1
0.8937972121301389,0.5462099277999967,0,1
0.9568939032914205,0.8452213840166646,0,1
0.08956599836653767,0.04802443609176621,0,1
0.08966469113012032,0.5547040451350027,0,0
0.33471111441614254,0.7188979431859018,0,1
0.865930139730919,0.327406260168713,0,1
0.6748104704868694,0.21667320952743307,0,1
0.11658119845353832,0.21982359320280986,0,1
0.4385020240607257,0.19236791634433936,0,1
0.16884567899713598,0.7082705544694036,0,1
0.6327708896434585,0.1591569251969308,0,1
0.72427542811706,0.8567792786382971,0,1
0.235326896879275,0.285547853331213,0,1
0.30330558381235606,0.015375545692436599,0,1
0.46981479370726764,0.9894912183808146,0,1
0.8224899125715114,0.7665778572386098,0,1
0.7286980067853465,0.1264355301804191,0,1
0.9933778526706608,0.6498646988292842,0,1
0.825712427262967,0.06592179903832973,0,1
0.9572540307089731,0.366961660687807,0,1
0.14529673224879558,0.21912006658160021,0,1
0.0018383549347226191,0.13946610033740858,0,0
0.7587967715474709,0.09845239414442475,0,1
0.30689941116334507,0.38431661908690784,0,1
0.31573561439984565,0.8437202647123468,1,1
0.1445155882271697,0.24088231941546168,0,1
0.5439302676438632,0.8171139307045898,0,1
0.34420736177807765,0.7190310131430435,0,1
0.6277127099904048,0.14090309622873975,0,1
0.19902414079765596,0.9936437541853834,1,0
0.6886047710111063,0.505974995848956,0,1
0.1319589278554566,0.2883570201351807,0,1
0.10341178515188487,0.8419525463167417,0,0
0.5709517812709098,0.3242117822191185,0,1
0.4043518244144816,0.8789146551199157,1,1
0.7424733129841872,0.49304056963565657,0,1
0.7558210168151464,0.035186246365814244,0,1
0.47929037085264403,0.16297145801265678,0,1
0.3402018002268822,0.7979311237647579,0,1
0.31844980459443706,0.7399150611821965,0,1
0.8633837696973895,0.33486209639929887,0,1
